Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
ACA.PA;Financial Services;Banks - Regional;https://www.credit-agricole.com/;Crédit Agricole S.A.;15,84;722,57;0,02;-0,02;0,03;5,35
TEP.PA;Industrials;Specialty Business Services;https://www.teleperformance.com/;Teleperformance SE;106,6;0;0;0;0;1,5
RMS.PA;Consumer Cyclical;Luxury Goods;https://finance.hermes.com/;Hermès International Société en commandite par actions;2295;192,39;11,93;27,42;1,55;0,58
SAF.PA;Industrials;Aerospace & Defense;https://www.safran-group.com/;Safran SA;208,5;91,81;2,27;-9,57;0,27;1,73
AI.PA;Basic Materials;Specialty Chemicals;https://www.airliquide.com/;L'Air Liquide S.A.;185,64;62,14;2,99;-6,24;0,52;1,91
CA.PA;Consumer Defensive;Grocery Stores;https://www.carrefour.com/;Carrefour SA;16,505;66,58;0,25;-0,59;0,23;2,8
TTE.PA;Energy;Oil & Gas Integrated;https://www.totalenergies.com/;TotalEnergies SE;66,95;122,57;0,55;-2,4;0,47;5,98
OR.PA;Consumer Defensive;Household & Personal Products;https://www.loreal.com/;L'Oreal SA;447,6;64,46;6,94;-37,11;0,61;1,71
AC.PA;Consumer Cyclical;Lodging;https://www.group.accor.com/en;Accor SA;41,37;23,81;1,74;-3,16;0,49;2,18
EN.PA;Industrials;Engineering & Construction;https://www.bouygues.com/;Bouygues SA;35,61;117,47;0,3;-0,76;0,22;4,78
SAN.PA;Healthcare;Drug Manufacturers - General;https://www.sanofi.com/;Sanofi;89,17;42,19;2,11;-5,2;0,63;3,73
CS.PA;Financial Services;Insurance - Diversified;https://www.axa.com/;AXA SA;33,69;282,48;0,12;-0,13;0,07;5,3
BN.PA;Consumer Defensive;Packaged Foods;https://www.danone.com/;Danone S.A.;59,94;33,33;1,8;-2,51;0,42;2,63
RI.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.pernod-ricard.com/;Pernod Ricard SA;148,75;78,71;1,89;-4,39;0,44;2
MC.PA;Consumer Cyclical;Luxury Goods;https://www.lvmh.com/;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;783,2;187,69;4,17;-10,49;0,46;1,37
HO.PA;Industrials;Aerospace & Defense;https://www.thalesgroup.com/en;Thales S.A.;167;139;1,2;-3,38;0,2;1,97
KER.PA;Consumer Cyclical;Luxury Goods;https://www.kering.com/;Kering SA;332,05;211,67;1,57;-3,03;0,41;2,11
EL.PA;Healthcare;Medical Instruments & Supplies;https://www.essilorluxottica.com/;EssilorLuxottica Société anonyme;208,6;41,65;5,01;-8,09;0,66;1,28
SU.PA;Industrials;Specialty Industrial Machinery;https://www.se.com/;Schneider Electric S.E.;229,15;50,76;4,51;-11,02;0,49;2,19
VIE.PA;Industrials;Waste Management;https://www.veolia.com/fr;Veolia Environnement SA;30,62;73,35;0,42;-0,73;0,2;3,47
SGO.PA;Industrials;Building Products & Equipment;https://www.saint-gobain.com/;Compagnie de Saint-Gobain S.A.;81,38;79,13;1,03;-3,61;0,48;3,1
CAP.PA;Technology;Information Technology Services;https://www.capgemini.com/;Capgemini SE;207,4;74,08;2,8;-7,93;0,5;1,41
DG.PA;Industrials;Engineering & Construction;https://www.vinci.com/;Vinci SA;115,05;112,54;1,02;-1,6;0,27;3,01
VIV.PA;Communication Services;Entertainment;https://www.vivendi.com/;Vivendi SE;10,145;25;0,41;-1,05;0,47;2,8
PUB.PA;Communication Services;Advertising Agencies;https://www.publicisgroupe.com/;Publicis Groupe S.A.;105,75;93,52;1,13;-4,11;0,3;2,68
GLE.PA;Financial Services;Banks - Regional;https://www.societegenerale.com/;Société Générale Société anonyme;27,23;1997,59;0,01;-0,01;0,04;6,41
BNP.PA;Financial Services;Banks - Regional;https://group.bnpparibas/;BNP Paribas SA;72,31;2389,42;0,03;-0,03;0,05;5,26
