Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
FR0010285965;Communication Services;Advertising Agencies;https://numberly.com/fr;1000mercis;26,2;42,59;0,62;-3,41;0,23;2,22
FR0013341781;Technology;Computer Hardware;https://2crsi.com/;2CRSI S.A.;4,38;2,78;1,58;4,42;0,49;0
IT0005204729;;;https://www.4aim.it/;4AIM SICAF S.p.A.;248,65;0;0;0;0;0
IT0005440323;;;https://issgovernance.com/quickscore;4AIM SICAF COMPARTO 2 CROWDFUND;250,1;0;0;0;0;0
DK0060945467;Communication Services;Electronic Gaming & Multimedia;https://www.5thplanetgames.com/;5th Planet Games A/S;1,695;0,31;5,47;8,92;2,03;0
IT0005439861;Energy;Oil & Gas Refining & Marketing;https://www.abpnocivelli.com/;Azienda Bresciana Petroli Nocivelli S.p.A.;4,6;2,86;1,61;2,37;1,52;0
FR0000076887;Consumer Cyclical;Residential Construction;https://www.ast-groupe.fr/;AST Groupe;0,7;8,02;0,09;-0,36;0,13;5,11
IT0001233417;Utilities;Utilities - Diversified;https://www.gruppoa2a.it/it/home;A2A S.p.A.;2,015;4,85;0,42;-1,02;0,24;5,49
NL0000852564;Industrials;Specialty Industrial Machinery;https://www.aalberts.com/;Aalberts N.V.;47,96;24,34;1,97;-27,88;0,61;2,26
NO0010672181;Financial Services;Banks - Regional;https://aasen-sparebank.no/;Aasen Sparebank;114,46;3852,12;0,03;-0,03;0,11;6,17
IT0005548521;Technology;Software - Infrastructure;https://aatech.it/;AATECH S.p.A. Società Benefit;1,09;0;0;0;0;0
BE0974293251;Consumer Defensive;Beverages - Brewers;https://www.ab-inbev.com/;Anheuser-Busch InBev SA/NV;62,12;34,86;1,78;-1,05;0,39;1,66
FR0010557264;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.ab-science.com/;AB Science S.A.;2,1;0,46;4,57;-4,04;1,08;0
FR0004040608;Financial Services;Asset Management;https://www.abc-arbitrage.com/;ABC arbitrage SA;4,195;3,07;1,37;-13,98;0,9;5,8
IT0005466294;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
FR0013185857;Consumer Cyclical;Leisure;https://www.groupe-abeo.fr/;Abéo SA;12,9;24,97;0,52;-1,04;0,36;0
NO0003021909;Financial Services;Capital Markets;https://www.abgsc.com/;ABG Sundal Collier Holding ASA;6,06;10;0,61;8,91;0,24;10,82
FR0012616852;Healthcare;Biotechnology;https://abionyx.com/;ABIONYX Pharma SA;1,09;0,29;3,76;0;0,74;0
IT0005445280;Real Estate;Real Estate - Development;https://www.abitareinspa.com/;Abitare In S.p.A.;4,5;11,19;0,4;1,52;0,44;0
FR0012333284;Healthcare;Biotechnology;https://www.abivax.com/;ABIVAX Société Anonyme;12,92;4,8;2,69;5,25;2,97;0
FR001400AHX6;Healthcare;Health Information Services;https://www.abldiagnostics.com/;ABL Diagnostics Société anonyme;3,04;0,86;3,53;14,48;0,45;0
NO0010715394;Industrials;Specialty Business Services;https://abl-group.com/;ABL Group ASA;12,1;0,96;12,6;55;0,66;0
NL0011540547;Financial Services;Banks - Diversified;https://www.abnamro.nl/;ABN AMRO Bank N.V.;15,81;477,34;0,03;-0,04;0,06;0
BE0974278104;Industrials;Waste Management;https://www.abo-group.eu/;ABO-Group Environment NV;5,65;7,46;0,76;-5;0,35;0
FR0000064602;Real Estate;REIT - Office;https://www.acanthedeveloppement.fr/;Acanthe Developpement;0,405;0,93;0,44;40,5;0,92;32,9
BE0003696102;Real Estate;Real Estate Services;https://www.accentis.com/;Accentis N.V.;0,03;0,05;0,6;0;0,93;0
FR0000120404;Consumer Cyclical;Lodging;https://www.group.accor.com/en;Accor SA;41,37;23,81;1,74;-3,16;0,49;2,18
GB00BQQFX454;Basic Materials;Lumber & Wood Production;https://www.accsysplc.com/;Accsys Technologies PLC;58,7;0,82;71,59;-451,54;0,59;0
IT0001207098;Utilities;Utilities - Diversified;https://www.gruppo.acea.it/;ACEA S.p.A.;16,8;34,51;0,49;-0,56;0,22;5,17
FR001400JAP8;Communication Services;Advertising Agencies;https://www.acheter-louer.fr/;Acheter-Louer.Fr SA;0,0002;0;0;0;0,47;0
IT0001382024;Utilities;Utilities - Diversified;https://www.acsm-agam.it/;Acinque S.p.A.;2,05;3,31;0,62;-2,28;0,5;3,88
BE0003764785;Industrials;Engineering & Construction;https://www.avh.be/;Ackermans & Van Haaren NV;169,2;568,07;0,3;-0,93;0,31;1,55
NL0000313286;Consumer Defensive;Food Distribution;https://www.acomo.nl/;Acomo N.V.;17,5;18,41;0,95;3,76;0,54;4,76
IT0005443061;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
ES0167050915;Industrials;Engineering & Construction;https://www.grupoacs.com/;ACS, Actividades de Construcción y Servicios, S.A.;39,84;134,96;0,3;-1,66;0,19;6,42
FR0000076861;Technology;Software - Application;https://www.acteos.com/;Acteos SA;1,335;3,51;0,38;-0,9;0,04;0
FR0000076655;Consumer Cyclical;Auto Parts;https://www.actia.com/;ACTIA Group S.A.;4,02;0;0;0;0;2,15
FR0014005OJ5;Healthcare;Biotechnology;https://www.acticor-biotech.com/;Acticor Biotech SAS;0,96;0,87;1,1;-16;0,06;0
FR0010979377;Technology;Computer Hardware;https://www.activium-id.com/;Activium Group SAS;1,49;0;0;0;0;0
