Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010285965;Communication Services;Advertising Agencies;https://numberly.com/fr;1000mercis;25,6;42,59;0,6;-3,33;0,23;0,09
FR0013341781;Technology;Computer Hardware;https://2crsi.com/;2CRSI S.A.;3,52;2,78;1,27;3,56;0,49;0
IT0005204729;Real Estate;REIT - Specialty;https://www.4aim.it/;4AIM SICAF S.p.A.;210,8;0;0;0;1,03;0
IT0005440323;;;https://issgovernance.com/quickscore;4AIM SICAF COMPARTO 2 CROWDFUND;160;0;0;0;0;0
DK0060945467;Communication Services;Electronic Gaming & Multimedia;https://www.5thplanetgames.com/;5th Planet Games A/S;1,43;0,3;4,77;7,15;2,01;0
IT0005439861;Energy;Oil & Gas Refining & Marketing;https://www.abpnocivelli.com/;Azienda Bresciana Petroli Nocivelli S.p.A.;4,5;2,86;1,57;2,32;1,52;0
FR0000076887;Consumer Cyclical;Residential Construction;https://www.ast-groupe.fr/;AST Groupe;0,5;8,02;0,06;-0,26;0,13;10,22
IT0001233417;Utilities;Utilities - Diversified;https://www.gruppoa2a.it/it/home;A2A S.p.A.;1,8795;4,85;0,39;-0,95;0,24;2,92
NL0000852564;Industrials;Specialty Industrial Machinery;https://www.aalberts.com/;Aalberts N.V.;38,2;24,34;1,57;-22,21;0,61;0,06
NO0010672181;Financial Services;Banks - Regional;https://aasen-sparebank.no/;Aasen Sparebank;118;3852,12;0,03;-0,03;0,11;0,05
IT0005548521;Technology;Software - Infrastructure;https://aatech.it/;AATECH S.p.A. Società Benefit;1,11;0;0;0;0;0
BE0974293251;Consumer Defensive;Beverages - Brewers;https://www.ab-inbev.com/;Anheuser-Busch InBev SA/NV;55,3;34,86;1,59;-0,94;0,39;0,03
FR0010557264;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.ab-science.com/;AB Science S.A.;1,16;0,46;2,52;-2,23;1,08;0
FR0004040608;Financial Services;Asset Management;https://www.abc-arbitrage.com/;ABC arbitrage SA;3,885;2,9;1,34;-13,87;0,9;1,51
FR0013185857;Consumer Cyclical;Leisure;https://www.groupe-abeo.fr/;Abéo SA;11;25,01;0,44;-0,88;0,36;0
NO0003021909;Financial Services;Capital Markets;https://www.abgsc.com/;ABG Sundal Collier Holding ASA;6,13;10;0,61;9,01;0,24;1,76
FR0012616852;Healthcare;Biotechnology;https://abionyx.com/;ABIONYX Pharma SA;1,172;0,29;4,04;0;0,74;0
IT0005445280;Real Estate;Real Estate - Development;https://www.abitareinspa.com/;Abitare In S.p.A.;4,09;11,2;0,37;1,38;0,44;0
FR0012333284;Healthcare;Biotechnology;https://www.abivax.com/;ABIVAX Société Anonyme;12,06;4,8;2,51;4,9;2,97;0
FR001400AHX6;Healthcare;Health Information Services;https://www.abldiagnostics.com/;ABL Diagnostics Société anonyme;2,8;0,86;3,26;13,33;0,45;0
NO0010715394;Industrials;Specialty Business Services;https://abl-group.com/;ABL Group ASA;12;0,96;12,5;54,55;0,66;0
