ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010285965;Communication Services;Advertising Agencies;https://numberly.com/fr;1000mercis;30.0;42.59;0.7;0.47;0.2;0.07
FR0013341781;Technology;Computer Hardware;https://2crsi.com/;2CRSI S.A.;3.9;2.78;1.4;0.98;0.49;0.0
IT0005204729;Real Estate;REIT - Specialty;https://www.4aim.it/;4AIM SICAF S.p.A.;123.0;0;0;0;1.0;0.0
IT0005440323;;;https://issgovernance.com/quickscore;4AIM SICAF COMPARTO 2 CROWDFUND;186.18;0;0;0;0;0.0
DK0060945467;Communication Services;Electronic Gaming & Multimedia;https://www.5thplanetgames.com/;5th Planet Games A/S;1.21;0.25;4.84;6.72;1.26;0.0
IT0005439861;Energy;Oil & Gas Refining & Marketing;https://www.abpnocivelli.com/;Azienda Bresciana Petroli Nocivelli S.p.A.;5.35;2.92;1.83;1.44;0.74;0.0
IT0001233417;Utilities;Utilities - Diversified;https://www.gruppoa2a.it/it/home;A2A S.p.A.;2.2;0;0;0;0.23;2.51
NL0000852564;Industrials;Specialty Industrial Machinery;https://www.aalberts.com/;Aalberts N.V.;37.7;24.34;1.55;1.34;0.61;0.06
NO0010672181;Financial Services;Banks - Regional;https://aasen-sparebank.no/;Aasen Sparebank;120.5;3922.18;0.03;0.03;0.12;0.05
IT0005548521;Technology;Software - Infrastructure;https://aatech.it/;AATECH S.p.A. Società Benefit;0.62;0.0;0;0;0;0.0
BE0974293251;Consumer Defensive;Beverages - Brewers;https://www.ab-inbev.com/;Anheuser-Busch InBev SA/NV;50.28;0;0;0;0.38;0.03
FR0010557264;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.ab-science.com/;AB Science S.A.;0.778;0.42;1.85;2.1;0.94;0.0
FR0004040608;Financial Services;Asset Management;https://www.abc-arbitrage.com/;ABC arbitrage SA;4.765;2.9;1.64;17.02;0.95;1.27
IT0005466294;Financial Services;Asset Management;https://www.abccompany.it/;ABC Company S.p.A.;3.7;2.87;1.29;1.84;0.71;0.0
FR0013185857;Consumer Cyclical;Leisure;https://www.groupe-abeo.fr/;Abéo SA;10.15;29.12;0.35;0.26;0.37;0.0
NO0003021909;Financial Services;Capital Markets;https://www.abgsc.com/;ABG Sundal Collier Holding ASA;6.9;11.19;0.62;0.35;0.15;1.51
FR0012616852;Healthcare;Biotechnology;https://abionyx.com/;ABIONYX Pharma SA;1.262;0.27;4.67;3.15;0.74;0.0
IT0005445280;Real Estate;Real Estate - Development;https://www.abitareinspa.com/;Abitare In S.p.A.;4.25;11.5;0.37;0.24;0.35;0.0
FR0012333284;Healthcare;Biotechnology;https://www.abivax.com/;ABIVAX Société Anonyme;7.98;4.77;1.67;1.21;2.1;0.0
FR001400AHX6;Healthcare;Health Information Services;https://www.abldiagnostics.com/;ABL Diagnostics Société anonyme;2.86;0.77;3.71;2.33;0.45;0.0
NO0010715394;Industrials;Specialty Business Services;https://abl-group.com/;ABL Group ASA;9.7;1.03;9.42;5.91;0.52;0.0
NL0011540547;Financial Services;Banks - Diversified;https://www.abnamro.nl/;ABN AMRO Bank N.V.;14.995;484.69;0.03;0.03;0.06;0.0
BE0974278104;Industrials;Engineering & Construction;https://www.abo-group.eu/;ABO-Group Environment NV;4.84;7.46;0.65;0.47;0.33;0.0
FR0000064602;Real Estate;REIT - Office;https://www.acanthedeveloppement.fr/;Acanthe Developpement;0.321;0.83;0.39;1.4;0.91;102.49
BE0003696102;Real Estate;Real Estate Services;https://www.accentis.com/;Accentis N.V.;0.026;0;0;0;0.65;0.0
FR0000120404;Consumer Cyclical;Lodging;https://www.group.accor.com/en;Accor SA;46.02;28.32;1.62;1.23;0.46;0.05
GB00BQQFX454;Basic Materials;Lumber & Wood Production;https://www.accsysplc.com/;Accsys Technologies PLC;47.05;0.83;56.69;69.19;0.57;0.0
IT0001207098;Utilities;Utilities - Diversified;https://www.gruppo.acea.it/;ACEA S.p.A.;18.19;56.54;0.32;0.32;0.2;0.29
FR001400JAP8;Communication Services;Advertising Agencies;https://www.acheter-louer.fr/;Acheter-Louer.Fr SA;0.3489;0;0;0;0.29;0.0
IT0001382024;Utilities;Utilities - Diversified;https://www.acsm-agam.it/;Acinque S.p.A.;2.02;2.71;0.75;0.54;0.52;1.94
BE0003764785;Industrials;Engineering & Construction;https://www.avh.be/;Ackermans & Van Haaren NV;187.6;567.38;0.33;0.3;0.3;0.01
NL0000313286;Consumer Defensive;Food Distribution;https://www.acomo.nl/;Acomo N.V.;17.6;18.41;0.96;0.64;0.54;0.27
IT0005443061;Communication Services;Advertising Agencies;https://www.acquazzurra.biz/;Acquazzurra S.p.A.;9.4;3.85;2.44;1.52;0.41;0.0
ES0167050915;Industrials;Engineering & Construction;https://www.grupoacs.com/;ACS, Actividades de Construcción y Servicios, S.A.;48.0;134.9;0.36;0.22;0.15;0.13
FR0000076861;Technology;Software - Application;https://www.acteos.com/;Acteos SA;1.02;5.49;0.19;0.14;0.04;0.0
FR0000076655;Consumer Cyclical;Auto Parts;https://www.actia.com/;ACTIA Group S.A.;2.65;26.51;0.1;0.06;0.24;0.81
FR0014005OJ5;Healthcare;Biotechnology;https://www.acticor-biotech.com/;Acticor Biotech SAS;0.255;0.63;0.4;0.29;0.55;0.0
FR0010979377;Technology;Computer Hardware;https://www.activium-id.com/;Activium Group SAS;1.38;0.0;0;0;0;0.0
BE0974269012;Real Estate;REIT - Residential;https://www.adcsiic.eu/;Alliance Developpement Capital SIIC;0.074;0.54;0.14;0.34;0.71;0.0
FR0013284627;Technology;Communication Equipment;https://www.adeunis.com/;Adeunis Société anonyme;0.688;2.75;0.25;0.17;0.16;0.0
DE000A1EWWW0;Consumer Cyclical;Footwear & Accessories;https://www.adidas-group.com/;adidas AG;241.6;100.59;2.4;1.69;0.26;0.01
LU1250154413;Real Estate;Real Estate Services;https://www.adler-group.com/;Adler Group S.A.;0.3545;51.83;0.01;0.01;0.03;0.0
FR0011184241;Healthcare;Biotechnology;https://www.adocia.com/;Adocia SA;0;0;0;0;0.43;0
FR001400JAL7;Real Estate;Real Estate Services;https://www.adomos.com/;Adomos S.A.;0.0002;0.0;0;0;0;0.0
FR0010340141;Industrials;Airports & Air Services;https://www.parisaeroport.fr/;Aeroports de Paris SA;113.6;170.12;0.67;0.58;0.24;0.02
FR0012821890;Communication Services;Advertising Agencies;https://www.adux.com/;ADUX;1.37;5.94;0.23;0.13;0.04;0.0
FR0013296746;;;https://twitter.com/YahooFinance;;1.79;0;0;0;0;0.0
FR0000053043;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.advini.com/;AdVini S.A.;14.0;90.42;0.15;0.11;0.2;0.09
NL0012969182;Technology;Software - Infrastructure;https://www.adyen.com/;Adyen N.V.;1493.2;303.67;4.92;3.04;2.34;0.0
IT0005349052;Real Estate;REIT - Retail;https://www.aedes-siiq.com/;Aedes Spa;0.165;0.27;0.61;0.61;0.91;46.85
BE0003851681;Real Estate;REIT - Healthcare Facilities;https://www.aedifica.eu/;Aedifica NV/SA;56.9;132.28;0.43;0.93;0.56;0.07
IT0001384590;Consumer Cyclical;Apparel Manufacturing;https://aeffe.com/;Aeffe S.p.A.;0.832;4.35;0.19;0.13;0.26;0.0
NO0012958539;Utilities;Utilities - Renewable;https://aega.no/;Aega ASA;0.374;0.02;18.7;12.47;0.74;0.0
BMG0112X1056;Financial Services;Insurance - Diversified;https://www.aegon.com/;Aegon Ltd.;6.112;0;0;0;0.03;0.81
