ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
AT0000606306;RBI.VI;Financial Services;Banks - Regional;https://www.rbinternational.com/de/home.html;Raiffeisen Bank International AG;37.44;55.05;0.68;0.64;0.64;0.1;0.11;15.49
AT0000609607;POS.VI;Industrials;Engineering & Construction;https://www.porr-group.com/;PORR AG;33.2;16.24;2.04;-1.42;-1.42;0.22;0.13;40.61
AT0000644505;LNZ.VI;Consumer Cyclical;Textile Manufacturing;https://www.lenzing.com/;Lenzing Aktiengesellschaft;25.55;33.3;0.77;-0.48;-1.05;0.29;0.11;-52.82
AT0000652011;EBS.VI;Financial Services;Banks - Regional;https://www.erstegroup.com/;Erste Group Bank AG;104.9;59.93;1.75;1.65;1.65;0.07;0.03;-19.59
AT0000720008;TKA.VI;Communication Services;Telecom Services;https://a1.group/;Telekom Austria AG;8.66;3.45;2.51;-1.89;-3.17;0.53;0.47;13.53
AT0000730007;ANDR.VI;Industrials;Industrial Distribution;https://www.andritz.com/;Andritz AG;71.65;13.09;5.47;-17.6;-17.6;0.34;0.05;38.19
AT0000743059;OMV.VI;Energy;Oil & Gas Integrated;https://www.omv.com/;OMV Aktiengesellschaft;49.1;46.95;1.05;-2.15;-2.15;0.42;0.12;103.86
AT0000746409;VER.VI;Utilities;Utilities - Renewable;https://www.verbund.com/;VERBUND AG;63.45;24.93;2.55;-3.45;-3.45;0.55;0.04;34.59
AT0000785407;FAA.DE;Technology;Software - Application;https://www.fabasoft.com/;Fabasoft AG;16.45;2.74;6.0;-20.82;-20.82;0.57;0.12;4.57
AT0000785555;SEM.VI;Industrials;Specialty Industrial Machinery;https://www.semperitgroup.com/;Semperit Aktiengesellschaft Holding;13.34;15.08;0.88;-1.58;-1.58;0.55;0.24;23.69
