ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
AT00000FACC2;FACC.VI;Industrials;Aerospace & Defense;https://www.facc.com/;FACC AG;11.4;5.07;2.25;-9.19;-9.19;0.38;0.0;6.01
AT0000606306;RBI.VI;Financial Services;Banks - Regional;https://www.rbinternational.com/de/home.html;Raiffeisen Bank International AG;37.44;55.05;0.68;0.64;0.64;0.1;0.11;15.49
AT0000609607;POS.VI;Industrials;Engineering & Construction;https://www.porr-group.com/;PORR AG;33.2;16.94;1.96;-1.44;-30.74;0.24;0.13;41.92
AT0000644505;LNZ.VI;Consumer Cyclical;Textile Manufacturing;https://www.lenzing.com/;Lenzing Aktiengesellschaft;25.55;33.3;0.77;-0.48;-1.05;0.29;0.11;-52.82
AT0000652011;EBS.VI;Financial Services;Banks - Regional;https://www.erstegroup.com/;Erste Group Bank AG;104.9;56.05;1.87;1.76;1.76;0.07;0.03;-19.59
AT0000720008;TKA.VI;Communication Services;Telecom Services;https://a1.group/;Telekom Austria AG;8.66;3.45;2.51;-1.89;-3.17;0.53;0.47;13.53
AT0000730007;ANDR.VI;Industrials;Industrial Distribution;https://www.andritz.com/;Andritz AG;71.65;13.09;5.47;-17.6;-17.6;0.34;0.05;38.19
AT0000743059;OMV.VI;Energy;Oil & Gas Integrated;https://www.omv.com/;OMV Aktiengesellschaft;49.1;49.3;1.0;-1.08;-1.08;0.43;0.12;103.79
AT0000746409;VER.VI;Utilities;Utilities - Renewable;https://www.verbund.com/;VERBUND AG;63.45;25.54;2.48;-3.53;22.26;0.56;0.04;34.59
AT0000785407;FAA.DE;Technology;Software - Application;https://www.fabasoft.com/;Fabasoft AG;16.45;2.74;6.0;-20.82;-20.82;0.57;0.12;4.57
AT0000785555;SEM.VI;Industrials;Specialty Industrial Machinery;https://www.semperitgroup.com/;Semperit Aktiengesellschaft Holding;13.34;15.08;0.88;-1.58;-1.58;0.55;0.24;23.69
AT0000821103;UQA.VI;Financial Services;Insurance - Diversified;https://www.uniqagroup.com/;UNIQA Insurance Group AG;15.68;6.12;2.56;1.67;1.67;0.1;0.36;7.11
AT0000831706;WIE.VI;Basic Materials;Building Materials;https://www.wienerberger.com/;Wienerberger AG;28.62;15.73;1.82;-2.31;-2.31;0.47;0.1;-0.04
AT0000837307;ZAG.VI;Industrials;Electrical Equipment & Parts;https://www.z.lighting/;Zumtobel Group AG;3.58;4.23;0.85;-1.08;-1.08;0.46;1.22;7.14
AT0000922554;ROS.VI;Industrials;Farm & Heavy Construction Machinery;https://www.rosenbauer.com/;Rosenbauer International AG;48.2;20.63;2.34;-4.0;3.2;0.17;0.06;26.01
AT0000937503;VOE.VI;Basic Materials;Steel;https://www.voestalpine.com/;Voestalpine AG;38.76;34.5;1.12;-7.48;-7.48;0.49;0.09;33.27
AT0000969985;ATS.VI;Technology;Electronic Components;https://ats.net/;AT & S Austria Technologie & Systemtechnik Aktiengesellschaft;36.6;27.21;1.35;-0.61;-0.61;0.27;0.05;-25.38
AT0000A25NJ6;WAH.MU;Industrials;Pollution & Treatment Controls;https://wolftankgroup.com/;Wolftank Group AG;4.6;1.11;4.14;-1.49;-3.19;0.18;0.0;-2.6
AT0000APOST4;POST.VI;Industrials;Integrated Freight & Logistics;https://www.post.at/;Österreichische Post AG;32.7;8.27;3.95;-1.01;-1.01;0.13;0.17;17.4
AT0000BAWAG2;BG.VI;Financial Services;Banks - Regional;https://www.bawaggroup.com/;BAWAG Group AG;136.5;53.18;2.57;2.28;2.28;0.06;0.0;236.1
AT000AGRANA3;AGR.VI;Consumer Defensive;Packaged Foods;https://www.agrana.com/;AGRANA Beteiligungs-Aktiengesellschaft;11.45;16.81;0.68;5.7;1.0;0.46;0.51;15.81
ATFREQUENT09;FQT.DE;Technology;Communication Equipment;https://www.frequentis.com/de;Frequentis AG;81.0;11.14;7.27;15.73;15.73;0.55;0.01;6.96
BE0974293251;ABI.BR;Consumer Defensive;Beverages - Brewers;https://www.ab-inbev.com/;Anheuser-Busch InBev SA/NV;59.08;-36.59;-1.61;-1.11;-1.22;0.4;0.02;48.11
