Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANNPA;Solvabilité
ACA.PA;Financial Services;Banks - Regional;https://www.credit-agricole.com/;Crédit Agricole S.A.;15,605;722,57;-0,02;0,03
TEP.PA;Industrials;Specialty Business Services;https://www.teleperformance.com/;Teleperformance SE;109,85;89,18;-1,67;0,39
RMS.PA;Consumer Cyclical;Luxury Goods;https://finance.hermes.com/;Hermès International Société en commandite par actions;2292;192,39;27,38;1,55
SAF.PA;Industrials;Aerospace & Defense;https://www.safran-group.com/;Safran SA;212,1;91,81;-9,73;0,27
AI.PA;Basic Materials;Specialty Chemicals;https://www.airliquide.com/;L'Air Liquide S.A.;187,5;62,14;-6,3;0,52
CA.PA;Consumer Defensive;Grocery Stores;https://www.carrefour.com/;Carrefour SA;16,12;66,58;-0,57;0,23
TTE.PA;Energy;Oil & Gas Integrated;https://www.totalenergies.com/;TotalEnergies SE;67,48;122,57;-2,42;0,47
OR.PA;Consumer Defensive;Household & Personal Products;https://www.loreal.com/;L'Oreal SA;456,7;64,46;-37,87;0,61
AC.PA;Consumer Cyclical;Lodging;https://www.group.accor.com/en;Accor SA;41,7;23,81;-3,18;0,49
EN.PA;Industrials;Engineering & Construction;https://www.bouygues.com/;Bouygues SA;36,39;117,47;-0,78;0,22
SAN.PA;Healthcare;Drug Manufacturers - General;https://www.sanofi.com/;Sanofi;90,76;42,19;-5,29;0,63
CS.PA;Financial Services;Insurance - Diversified;https://www.axa.com/;AXA SA;33,38;282,48;-0,13;0,07
BN.PA;Consumer Defensive;Packaged Foods;https://www.danone.com/;Danone S.A.;59,58;33,33;-2,49;0,42
RI.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.pernod-ricard.com/;Pernod Ricard SA;148,95;78,71;-4,4;0,44
MC.PA;Consumer Cyclical;Luxury Goods;https://www.lvmh.com/;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;788,1;187,69;-10,56;0,46
HO.PA;Industrials;Aerospace & Defense;https://www.thalesgroup.com/en;Thales S.A.;165,7;139;-3,35;0,2
KER.PA;Consumer Cyclical;Luxury Goods;https://www.kering.com/;Kering SA;337,45;211,67;-3,08;0,41
EL.PA;Healthcare;Medical Instruments & Supplies;https://www.essilorluxottica.com/;EssilorLuxottica Société anonyme;207,8;41,65;-8,06;0,66
SU.PA;Industrials;Specialty Industrial Machinery;https://www.se.com/;Schneider Electric S.E.;236,6;50,76;-11,38;0,49
VIE.PA;Industrials;Waste Management;https://www.veolia.com/fr;Veolia Environnement SA;30,6;73,35;-0,73;0,2
SGO.PA;Industrials;Building Products & Equipment;https://www.saint-gobain.com/;Compagnie de Saint-Gobain S.A.;82,3;79,13;-3,65;0,48
CAP.PA;Technology;Information Technology Services;https://www.capgemini.com/;Capgemini SE;209,4;74,08;-8;0,5
DG.PA;Industrials;Engineering & Construction;https://www.vinci.com/;Vinci SA;116,65;112,45;-1,63;0,27
VIV.PA;Communication Services;Entertainment;https://www.vivendi.com/;Vivendi SE;9,984;25;-1,03;0,47
PUB.PA;Communication Services;Advertising Agencies;https://www.publicisgroupe.com/;Publicis Groupe S.A.;105,8;93,52;-4,12;0,3
GLE.PA;Financial Services;Banks - Regional;https://www.societegenerale.com/;Société Générale Société anonyme;27,485;1997,59;-0,01;0,04
BNP.PA;Financial Services;Banks - Regional;https://group.bnpparibas/;BNP Paribas SA;71,87;2389,42;-0,03;0,05
RNO.PA;Consumer Cyclical;Auto Manufacturers;https://www.renaultgroup.com/;Renault SA;49,97;0;0;0
ORA.PA;Communication Services;Telecom Services;https://www.orange.com/;Orange S.A.;10,7;0;0;0
ENGI.PA;Utilities;Utilities - Diversified;https://www.engie.com/;Engie SA;15,87;71,33;-0,46;0,17
LR.PA;Industrials;Electrical Equipment & Parts;https://www.legrandgroup.com/;Legrand SA;104,25;26,94;-10,22;0,56
EDEN.PA;Financial Services;Credit Services;https://www.edenred.com/;Edenred SE;47,83;37,44;-2,38;0,07
URW.PA;Real Estate;REIT - Retail;https://www.urw.com/;Unibail-Rodamco-Westfield SE;80,18;373;-0,43;0,36
ERF.PA;Healthcare;Diagnostics & Research;https://www.eurofins.com/;Eurofins Scientific SE;59,58;28,87;-4,26;0,53
DSY.PA;Technology;Software - Application;https://www.3ds.com/;Dassault Systèmes SE;38,27;11,48;-78,1;0,75
ML.PA;;;;;37,38;0;0;0,55
MT.PA;;;;ArcelorMittal SA;0;0;0;0
STMPA.PA;Technology;Semiconductors;https://www.st.com/;STMicroelectronics N.V.;38,955;27,02;8,51;0,91
AIR.PA;Industrials;Aerospace & Defense;https://www.airbus.com/;Airbus SE;160,1;133,64;-3,39;0,17
STLAP.PA;Consumer Cyclical;Auto Manufacturers;https://www.stellantis.com/;Stellantis N.V.;21,375;50,51;-2,24;0,53
SOLB.PA;;;https://finance.yahoo.com/sector/energy;;0;0;0;0
XFAB.PA;Technology;Semiconductors;https://www.xfab.com/;X-FAB Silicon Foundries SE;7,04;13,13;10,83;0,72
VIRP.PA;Healthcare;Drug Manufacturers - General;https://corporate.virbac.com/;Virbac SA;367,5;133,43;10,63;0,75
VCT.PA;Basic Materials;Building Materials;https://www.vicat.fr/;Vicat S.A.;36,6;112,78;-1,03;0,47
ICAD.PA;Real Estate;REIT - Diversified;https://www.icade.fr/;Icade;28,14;152,67;-1,13;0,51
BEN.PA;Consumer Cyclical;Recreational Vehicles;https://www.beneteau-group.com/;Bénéteau S.A.;14,02;23,32;3,07;0,44
BOL.PA;Communication Services;Entertainment;https://www.bollore.com/;Bolloré SE;6,12;16,58;-2,11;0,4
MRN.PA;Industrials;Electrical Equipment & Parts;https://www.mersen.com/;Mersen S.A.;39,4;50,73;-6,96;0,54
NEX.PA;Industrials;Electrical Equipment & Parts;https://www.nexans.com/;Nexans S.A.;110,5;138,7;-4,67;0,31
SOP.PA;Technology;Information Technology Services;https://www.soprasteria.com/;Sopra Steria Group SA;224,2;156,6;-2,21;0,32
MAU.PA;Energy;Oil & Gas E&P;https://www.maureletprom.fr/;Etablissements Maurel & Prom S.A.;6,465;8,49;-3,18;0,62
ATO.PA;Technology;Information Technology Services;https://www.atos.net/;Atos SE;2,105;84,44;-0,05;0,24
MMT.PA;Communication Services;Broadcasting;https://www.groupem6.fr/;Métropole Télévision S.A.;13,22;11,31;3,62;0,81
DBG.PA;Industrials;Waste Management;https://www.derichebourg.com/;Derichebourg SA;4,538;14,48;-0,86;0,41
