ISIN;nom;ticker
AT00000FACC2;FACC AG;1FC
AT0000606306;Raiffeisen Bank International AG;RAW
AT0000609607;PORR AG;ABS2
AT0000644505;Lenzing Aktiengesellschaft;LEN
AT0000652011;Erste Group Bank AG;EBO
AT0000652250;S IMMO AG;T1L
AT0000720008;Telekom Austria AG;TA1
AT0000730007;Andritz AG;AZ2
AT0000743059;OMV Aktiengesellschaft;OMV
AT0000746409;VERBUND AG;OEWA
AT0000785407;Fabasoft AG;FAA
AT0000785555;Semperit Aktiengesellschaft Holding;SEW
AT0000821103;UNIQA Insurance Group AG;UN9
AT0000827209;Warimpex Finanz- und Beteiligungs AG;WFS
AT0000831706;Wienerberger AG;WIB
AT0000837307;Zumtobel Group AG;T9Z
AT0000922554;Rosenbauer International AG;ROI
AT0000937503;Voestalpine AG;VAS
AT0000969985;AT&S Austria Technologie & Systemtechnik AG;AUS
AT0000A0E9W5;Kontron AG;KTN
AT0000A25NJ6;Wolftank Adisa Holding AG;WAH
AT0000APOST4;Österreichische Post AG;O3P
AT0000BAWAG2;Bawag Group AG;0B2
AT000AGRANA3;Agrana Beteiligungs AG;AGB2
ATFREQUENT09;Frequentis AG;FQT
BE0974293251;Anheuser-Busch InBev SA/NV;1NBA
CA0679011084;Barrick Gold Corp;ABR
CA32076V1031;First Majestic Silver Corp;FMV
CA4969024047;Kinross Gold Corporation;KIN2
CA9628791027;Wheaton Precious Metals Corp;SII
CH0006539198;Highlight Communica;HLG
CH0038389992;BB Biotech AG;BBZA
CH0303692047;EDAG Engineering Group AG;ED4
CNE1000031C1;Qingdao Haier Co Ltd;690D
DE0001218063;FinLab AG;A7A
DE0001262152;B+S Banksysteme Aktiengesellschaft;DTD2
DE0002605557;BAVARIA Industries Group AG;B8A
DE0005088108;Baader Bank Aktiengesellschaft;BWB
DE0005089031;United Internet AG;UTDI
DE0005093108;Amadeus Fire AG;AAD
DE0005102008;Basler AG;BSL
DE0005103006;ADVA Optical Networ;ADV
DE0005104400;Atoss Software AG;AOF
DE0005104806;Syzygy AG;SYZ
DE0005110001;All for One Steeb A;A1OS
DE0005118806;Telegate AG;TGT
DE0005137004;q.beyond AG;QBY
DE0005140008;Deutsche Bank AG;DBK
DE0005146807;Delticom AG;DEX
DE0005156236;Schweizer Electroni;SCE
DE0005157101;Dr Hoenle AG;HNL
DE0005158703;Bechtle AG;BC8
DE0005167902;3U Holding AG;UUU
DE0005176903;Surteco SE;SUR
DE0005178008;Softing AG;SYT
DE0005181606;Weng Fine Art AG;WFA
DE0005190003;BMW;BMW
DE0005190037;Bayerische Motoren ;BMW3
DE0005194005;BayWa AG;BYW
DE0005194062;BayWa AG;BYW6
DE0005199905;LUDWIG BECK am Rathauseck - Textilhaus Feldmeier A;ECK
DE0005200000;Beiersdorf AG;BEI
DE0005201602;Berentzen-Gruppe AG;BEZ
DE0005202303;Quirin Privatbank AG;QB7
DE0005203947;BRAIN Biotechnology Research & Information Network;BNN
DE0005209589;artec technologies AG;A6T
DE0005218309;Mobotix AG;MBQ
DE0005220008;EnBW Energie Baden-Württemberg AG;EBK
DE0005220909;Nexus AG;NXU
DE0005227201;Biotest AG;BIO
DE0005227235;Biotest AG;BIO3
DE0005228779;Orbis AG;OBS
DE0005229504;Bijou Brigitte AG;BIJ
DE0005232805;Bertrandt AG;BDT
DE0005250005;Heidelberger Beteiligungsholding AG;IPOK
DE0005313506;Energiekontor AG;EKT
DE0005313704;Carl Zeiss Meditec ;AFX
DE0005403901;Cewe Color Holding ;CWC
DE0005407100;CENIT Aktiengesellschaft;CSH
DE0005407407;CeoTronics AG;CEK
DE0005408686;ÖKOWORLD AG;VVV3
DE0005419105;CANCOM AG;COK
DE0005437305;CompuGroup Medical ;COP
DE0005439004;Continental AG;CON
DE0005470306;CTS Eventim AG;EVD
DE0005470405;Lanxess AG;LXS
DE0005479307;Varengold Bank AG;VG8
DE0005489561;UNITEDLABELS Aktiengesellschaft;ULC
DE0005492938;Masterflex SE;MZX
DE0005493092;Borussia Dortmund G;BVB
DE0005493365;Hypoport AG;HYQ
DE0005495626;Geratherm Medical AG;GME
DE0005498901;Data Modul AG;DAM
DE0005533400;Deutsche Grundstücksauktionen AG;DGR
DE0005545503;1&1 AG;1U1
DE0005550602;Draegerwerk AG & Co;DRW8
DE0005550636;Draegerwerk AG & Co;DRW3
DE0005552004;Deutsche Post AG;DHL
DE0005557508;Deutsche Telekom AG;DTE
DE0005558696;paragon AG;PGN
DE0005565204;Duerr AG;DUE
DE0005570808;UmweltBank AG;UBK
DE0005580005;Dierig Holding AG;DIE
DE0005649503;Edel SE & Co. KGaA;EDL
DE0005654933;Einhell Germany AG;EIN3
DE0005659700;Eckert & Ziegler AG;EUZ
DE0005664809;Evotec AG;EVT
DE0005677108;Elmos Semiconductor;ELG
DE0005754402;LS telcom AG;LSX
DE0005759807;Init Innovation In ;IXX
DE0005760029;ABO Wind AG;AB9
DE0005772206;Fielmann AG;FIE
DE0005773303;Fraport AG Frankfur;FRA
DE0005774103;FORTEC Elektronik AG;FEV
DE0005775803;FORIS AG;FRS
DE0005785604;Fresenius SE & Co K;FRE
DE0005785802;Fresenius Medical C;FME
DE0005790406;Fuchs Petrolub AG;FPE
DE0005790430;Fuchs Petrolub AG;FPE3
DE0005800601;GFT Technologies AG;GFT
DE0005810055;Deutsche Boerse AG;DB1
DE0005854343;Ecotel Communicatio;E4C
DE0005855183;MS Industrie AG;MSAG
DE0005874846;InTiCa Systems AG;IS7
DE0005878003;Gildemeister AG;GIL
DE0005895403;Grammer AG;GMM
DE0005909006;Bilfinger Berger SE;GBF
DE0005932735;YOC AG;YOC
DE0005936124;OHB AG;OHB
DE0006042708;Hawesko Holding AG;HAW
DE0006044001;Maternus-Kliniken Aktiengesellschaft;MAK
DE0006047004;HeidelbergCement AG;HEI
DE0006048408;Henkel AG & Co KGaA;HEN
DE0006048432;Henkel AG & Co KGaA;HEN3
DE0006061104;HMS Bergbau AG;HMU
DE0006062144;Covestro AG;1COV
DE0006070006;Hochtief AG;HOT
DE0006083405;Hornbach Holding AG & Co KGaA;HBH
DE0006095003;Encavis AG;ECV
DE0006200108;Indus Holding AG;INH
DE0006201106;FRIWO AG;CEA
DE0006202005;Salzgitter AG;SZG
DE0006204589;mVISE AG;C1V
DE0006208408;KAP AG;IUR
DE0006214687;Müller - Die lila Logistik AG;MLL
DE0006219934;Jungheinrich AG;juin-03
DE0006223407;ProCredit Holding AG & Co KGaA;PCZ
DE0006223605;Intertainment AG;ITN
DE0006229107;Jenoptik AG;JEN
DE0006231004;Infineon Technologies AG;IFX
DE0006286560;OVB Holding AG;O4B
DE0006292006;KSB AG;KSB
DE0006292030;KSB AG;KSB3
DE0006305006;Deutz AG;DEZ
DE0006335003;Krones AG;KRN
DE0006450000;LPKF Laser & Electr;LPK
DE0006452907;Nemetschek AG;NEM
DE0006464506;Leifheit AG;LEI
DE0006569403;ALBIS Leasing AG;ALG
DE0006569908;MLP AG;MLP
DE0006577109;NanoRepro AG;NN6
DE0006578008;KHD Humboldt Wedag International AG;KWG
DE0006580806;Mensch und Maschine Software SE;MUM
DE0006595101;MEDICLIN Aktiengesellschaft;MED
DE0006599905;Merck KGaA;MRK
DE0006602006;GEA Group AG;G1A
DE0006605009;Medion AG;MDN
DE0006627201;Muehlbauer Holding AG;MUB
DE0006632003;Morphosys AG;MOR
DE0006766504;Aurubis AG;NDA
DE0006916604;Pfeiffer Vacuum Tec;PFV
DE0006942808;Scherzer & Co. AG;PZS
DE0006967805;PRO DV AG;PDA
DE0006968001;Progress-Werk Oberk;PWO
DE0006969603;Puma SE;PUM
DE0006972508;publity AG;PBY
DE0007008906;RealTech AG;RTC
DE0007010803;Rational AG;RAA
DE0007030009;Rheinmetall AG;RHM
DE0007037129;RWE;RWE
DE0007042301;Rhoen Klinikum AG;RHK
DE0007074007;KWS Saat AG;KWS
DE0007100000;Mercedes-Benz Groug AG;MBG
DE0007164600;SAP AG;SAP
DE0007165607;Sartorius AG;SRT
DE0007165631;Sartorius AG;SRT3
DE0007193500;Koenig & Bauer AG;SKB
DE0007201907;First Sensor AG;SIS
DE0007203705;SNP Schneider-Neureither & Partner AG;SHF
DE0007229007;Schloss Wachenheim ;SWA
DE0007231326;Sixt AG;SIX2
