FR0000120073;Air Liquide SA;AIL
FR0000120321;L'Oreal S.A.;LOR
FR0000121014;LVMH Moët Hennessy - Louis Vuitton Societe Europee;MOH
FR0000133308;Orange SA;FTE
FR0000031577;Virbac;VIRP
FR0000031775;Vicat;VCT
FR0000033219;Altarea;ALTA
FR0000033409;Fonciere Lyonnaise;FLY
FR0000035081;Icade;ICAD
FR0000039091;Robertet;RBT
FR0000039299;Bollore;BOL
FR0000044448;Nexans;NEX
FR0000044471;Ramsay Generale De Sante;GDS
FR0000045072;Credit Agricole;ACA
FR0000045601;Robertet Ci;CBE
FR0000045619;Robertet CDV 87;CBR
FR0000050353;Lisi;FII
FR0000050809;Sopra Steria Group;SOP
FR0000051070;Maurel Et Prom;MAU
FR0000051807;Teleperformance;TEP
FR0000052292;Hermes;RMS
FR0000053225;Metropole Tv;MMT
FR0000054215;Unibel;UNBL
FR0000054470;Ubisoft Entertainment;UBI
FR0000054900;TF1;TFI
FR0000060303;Covivio Hotels;COVH
FR0000062234;Financiere Odet;ODET
FR0000064271;STEF;STF
FR0000064578;Covivio;COV
FR0000064784;Peugeot Invest;PEUG
FR0000065484;Lectra;LSS
FR0000071946;Alten;ATE
FR0000073272;Safran;SAF
FR0000073298;Ipsos;IPS
FR0000076952;Financiere Artois;ARTO
FR0000077919;Jc Decaux Sa.;DEC
FR0000079659;Cambodge Nom.;CBDG
FR0000120073;Air Liquide;AI
FR0000120172;Carrefour;CA
FR0000120271;TotalEnergies;TTE
FR0000120321;L'oreal;OR
FR0000120404;Accor Hotels;AC
FR0000120503;Bouygues;EN
FR0000120578;Sanofi;SAN
FR0000120628;Axa;CS
FR0000120644;Danone;BN
FR0000120693;Pernod Ricard;RI
FR0000120859;Imerys;NK
FR0000120966;Bic;BB
FR0000121014;Lvmh;MC
FR0000121121;Eurazeo;RF
FR0000121147;Forvia;FRVIA
FR0000121204;Wendel Invest.;MF
FR0000121220;Sodexo;SW
FR0000121329;Thales;HO
FR0000121485;Kering;KER
FR0000121667;EssilorLuxottica;EL
FR0000121709;Seb;SK
FR0000121964;Klepierre;LI
FR0000121972;Schneider Electric;SU
FR0000124141;Veolia Environ.;VIE
FR0000124570;OPmobility (ex Plastic Omnium);OPM
FR0000125007;Saint Gobain;SGO
FR0000125338;CapGemini;CAP
FR0000125486;Vinci;DG
FR0000127771;Vivendi;VIV
FR0000130213;Lagardere;MMB
FR0000130395;Remy Cointreau;RCO
FR0000130403;Christian Dior;CDI
FR0000130452;Eiffage;FGR
FR0000130577;Publicis Groupe;PUB
FR0000130809;Societe Generale;GLE
FR0000131104;Bnp Paribas;BNP
FR0000131757;Eramet;ERA
FR0000131906;Renault;RNO
FR0000133308;Orange;ORA
FR0004024222;Interparfums;ITP
FR0004125920;Amundi;AMUN
FR0004186856;Vetoquinol;VETO
FR0005691656;Trigano;TRI
FR0006174348;Bureau Veritas;BVI
FR0010040865;Gecina Nom.;GFC
FR0010208488;Engie;ENGI
FR0010220475;Alstom;ALO
FR0010221234;Eutelsat Com.;ETL
FR0010259150;Ipsen;IPN
FR0010282822;VusionGroup;VU
FR0010307819;Legrand SA;LR
FR0010313833;Arkema;AKE
FR0010340141;Adp;ADP
FR0010411983;Scor;SCR
FR0010451203;Rexel;RXL
FR0010481960;Argan;ARG
FR0010533075;Getlink;GET
FR0010667147;Coface;COFA
FR0010828137;Carmila;CARM
FR0010908533;Edenred;EDEN
FR0010929125;ID Logistics;IDL
FR0011675362;Neoen;NEOEN
FR0011726835;GTT;GTT
FR0011981968;Worldline;WLN
FR0011995588;Voltalia;VLTSA
FR0012435121;Elis;ELIS
FR0012757854;Spie;SPIE
FR0013154002;Sartorius Stedim Biotech;DIM
FR0013176526;Valeo;FR
FR0013227113;Soitec Silicon;SOI
FR0013230612;Tikehau Capital;TKO
FR0013258662;Ayvens (ex Ald);AYV
FR0013269123;Rubis;RUI
FR0013280286;Biomerieux;BIM
FR0013326246;Unibail Rodamco Westfield;URW
FR0013357621;Wavestone;WAVE
FR0013447729;Verallia;VRLA
FR0013451333;FDJ United;FDJU
FR0013506730;Vallourec;VK
FR0014000MR3;Eurofins Scient.;ERF
FR0014003TT8;Dassault Systemes;DSY
FR0014004L86;Dassault Aviation;AM
FR0014005AL0;Antin infra Partn;ANTIN
FR0014005HJ9;OVH;OVH
FR001400AJ45;Michelin;ML
FR001400J770;Air France - KLM;AF
FR001400NLM4;Emeis (ex. Orpea);EMEIS
FR001400PFU4;Planisware;PLNW
FR001400Q9V2;Exosens;EXENS
FR001400SF56;Ldc;LOUP
FR001400SU99;Financiere Moncey;FMONC
FR0000030074;Malteries Fco-Bel.;MALT
FR0000031023;Electricite de Strasbourg;ELEC
FR0000032526;Guerbet;GBT
FR0000032658;Synergie;SDG
FR0000033243;Immobiliere Dassault;IMDA
FR0000033904;Jacquet Metals;JCQ
