ISIN;nom;ticker
AT00000FACC2f;FACC AG;FACC
AT0000606306f;Raiffeisen Bank International AG;RAW
AT0000609607f;PORR AG;ABS2
AT0000644505f;Lenzing Aktiengesellschaft;LEN
AT0000652011f;Erste Group Bank AG;EBO
AT0000720008f;Telekom Austria AG;TA1
AT0000730007f;Andritz AG;AZ2
AT0000743059f;OMV Aktiengesellschaft;OMV
AT0000746409f;VERBUND AG;OEWA
AT0000785407f;Fabasoft AG;FAA
AT0000785555f;Semperit Aktiengesellschaft Holding;SEW
AT0000821103f;UNIQA Insurance Group AG;UN9
AT0000831706f;Wienerberger AG;WIB
AT0000837307f;Zumtobel Group AG;T9Z
AT0000922554f;Rosenbauer International AG;ROI
AT0000937503f;Voestalpine AG;VAS
AT0000969985f;AT&S Austria Technologie & Systemtechnik AG;AUS
AT0000A0E9W5f;Kontron AG;KTN
AT0000A25NJ6f;Wolftank Adisa Holding AG;WAH
AT0000APOST4f;Österreichische Post AG;O3P
AT0000BAWAG2f;Bawag Group AG;0B2
AT000AGRANA3f;Agrana Beteiligungs AG;AGB2
ATFREQUENT09f;Frequentis AG;FQT
BE0974293251f;Anheuser-Busch InBev SA/NV;1NBA
CA0679011084f;Barrick Gold Corp;ABR
CA32076V1031f;First Majestic Silver Corp;FMV
CA4969024047f;Kinross Gold Corporation;KIN2
CA9628791027f;Wheaton Precious Metals Corp;SII
CH0006539198f;Highlight Communica;HLG
CH0038389992f;BB Biotech AG;BBZA
CH0303692047f;EDAG Engineering Group AG;ED4
CNE1000031C1f;Qingdao Haier Co Ltd;690D
DE0001218063f;FinLab AG;A7A
DE0001262152f;B+S Banksysteme Aktiengesellschaft;DTD2
DE0005088108f;Baader Bank Aktiengesellschaft;BWB
DE0005089031f;United Internet AG;UTDI
DE0005093108f;Amadeus Fire AG;AAD
DE0005102008f;Basler AG;BSL
DE0005103006f;ADVA Optical Networ;ADV
DE0005104400f;Atoss Software AG;AOF
DE0005104806f;Syzygy AG;SYZ
DE0005110001f;All for One Steeb A;A1OS
DE0005118806f;Telegate AG;TGT
DE0005137004f;q.beyond AG;QBY
DE0005140008f;Deutsche Bank AG;DBK
DE0005146807f;Delticom AG;DEX
DE0005156236f;Schweizer Electroni;SCE
DE0005157101f;Dr Hoenle AG;HNL
DE0005158703f;Bechtle AG;BC8
DE0005167902f;3U Holding AG;UUU
DE0005176903f;Surteco SE;SUR
DE0005178008f;Softing AG;SYT
DE0005181606f;Weng Fine Art AG;WFA
DE0005190003f;BMW;BMW
DE0005190037f;Bayerische Motoren ;BMW3
DE0005194005f;BayWa AG;BYW
DE0005194062f;BayWa AG;BYW6
DE0005199905f;LUDWIG BECK am Rathauseck - Textilhaus Feldmeier A;ECK
DE0005200000f;Beiersdorf AG;BEI
DE0005201602f;Berentzen-Gruppe AG;BEZ
DE0005202303f;Quirin Privatbank AG;QB7
DE0005203947f;BRAIN Biotechnology Research & Information Network;BNN
DE0005209589f;artec technologies AG;A6T
DE0005218309f;Mobotix AG;MBQ
DE0005220008f;EnBW Energie Baden-Württemberg AG;EBK
DE0005220909f;Nexus AG;NXU
DE0005228779f;Orbis AG;OBS
DE0005229504f;Bijou Brigitte AG;BIJ
DE0005232805f;Bertrandt AG;BDT
DE0005250005f;Heidelberger Beteiligungsholding AG;IPOK
DE0005313506f;Energiekontor AG;EKT
DE0005313704f;Carl Zeiss Meditec ;AFX
DE0005403901f;Cewe Color Holding ;CWC
DE0005407100f;CENIT Aktiengesellschaft;CSH
DE0005407407f;CeoTronics AG;CEK
DE0005408686f;ÖKOWORLD AG;VVV3
DE0005419105f;CANCOM AG;COK
DE0005437305f;CompuGroup Medical ;COP
DE0005439004f;Continental AG;CON
DE0005470306f;CTS Eventim AG;EVD
DE0005470405f;Lanxess AG;LXS
DE0005479307f;Varengold Bank AG;VG8
DE0005489561f;UNITEDLABELS Aktiengesellschaft;ULC
DE0005492938f;Masterflex SE;MZX
DE0005493092f;Borussia Dortmund G;BVB
DE0005493365f;Hypoport AG;HYQ
DE0005495626f;Geratherm Medical AG;GME
DE0005498901f;Data Modul AG;DAM
DE0005533400f;Deutsche Grundstücksauktionen AG;DGR
DE0005545503f;1&1 AG;1U1
DE0005550602f;Draegerwerk AG & Co;DRW8
DE0005550636f;Draegerwerk AG & Co;DRW3
DE0005552004f;Deutsche Post AG;DHL
DE0005557508f;Deutsche Telekom AG;DTE
DE0005558696f;paragon AG;PGN
DE0005565204f;Duerr AG;DUE
DE0005570808f;UmweltBank AG;UBK
DE0005580005f;Dierig Holding AG;DIE
DE0005649503f;Edel SE & Co. KGaA;EDL
DE0005659700f;Eckert & Ziegler AG;EUZ
DE0005664809f;Evotec AG;EVT
DE0005677108f;Elmos Semiconductor;ELG
DE0005754402f;LS telcom AG;LSX
DE0005759807f;Init Innovation In ;IXX
DE0005760029f;ABO Wind AG;AB9
DE0005772206f;Fielmann AG;FIE
DE0005773303f;Fraport AG;FRA
DE0005774103f;FORTEC Elektronik AG;FEV
DE0005775803f;FORIS AG;FRS
DE0005785604f;Fresenius SE & Co K;FRE
DE0005785802f;Fresenius Medical C;FME
DE0005790406f;Fuchs Petrolub AG;FPE
DE0005790430f;Fuchs Petrolub AG;FPE3
DE0005800601f;GFT Technologies AG;GFT
DE0005810055f;Deutsche Boerse AG;DB1
DE0005854343f;Ecotel Communicatio;E4C
DE0005855183f;MS Industrie AG;MSAG
DE0005874846f;InTiCa Systems AG;IS7
DE0005878003f;Gildemeister AG;GIL
DE0005895403f;Grammer AG;GMM
DE0005909006f;Bilfinger Berger SE;GBF
DE0005932735f;YOC AG;YOC
DE0005936124f;OHB AG;OHB
DE0006042708f;Hawesko Holding AG;HAW
DE0006044001f;Maternus-Kliniken Aktiengesellschaft;MAK
DE0006047004f;HeidelbergCement AG;HEI
DE0006048408f;Henkel AG & Co KGaA;HEN
DE0006048432f;Henkel AG & Co KGaA;HEN3
DE0006061104f;HMS Bergbau AG;HMU
DE0006062144f;Covestro AG;1COV
DE0006070006f;Hochtief AG;HOT
DE0006083405f;Hornbach Holding AG & Co KGaA;HBH
DE0006200108f;Indus Holding AG;INH
DE0006201106f;FRIWO AG;CEA
DE0006202005f;Salzgitter AG;SZG
DE0006204589f;mVISE AG;C1V
DE0006208408f;KAP AG;IUR
DE0006214687f;Müller - Die lila Logistik AG;MLL
DE0006219934f;Jungheinrich AG;JUN3
DE0006223407f;ProCredit Holding AG & Co KGaA;PCZ
DE0006223605f;Intertainment AG;ITN
DE0006229107f;Jenoptik AG;JEN
DE0006231004f;Infineon Technologies AG;IFX
DE0006286560f;OVB Holding AG;O4B
DE0006289309f;iShares EURO STOXX Banks 30-15 UCITS ETF (DE);EXX1
DE0006292006f;KSB AG;KSB
